regime__efficiency_trend_threshold,regime__trend_strength_threshold,regime__anchor_slope_threshold,total_trades,long_trades,short_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_roi,max_drawdown_pct,sharpe_ratio,initial_balance,final_balance,regime_metrics
0.22,0.002,0.001,30,30,0,0.1,14.512520319924088,-30.862254488500557,0.05224836242505128,-789.7433102297429,-7.897433102297429,8.180894237531957,-14.660701197357875,10000.0,9210.25668977025,"{'range': {'trades': 30, 'win_rate': 0.1, 'profit_factor': 0.05224836242505128, 'total_pnl': -789.7433102297429, 'avg_hold_bars': 3.433333333333333}}"
0.1,0.002,0.0006,20,20,0,0.05,13.024950932741458,-30.655516004695826,0.022362165856127592,-569.4298531564792,-5.694298531564793,5.98465118873716,-14.730399574980806,10000.0,9430.570146843518,"{'range': {'trades': 20, 'win_rate': 0.05, 'profit_factor': 0.022362165856127592, 'total_pnl': -569.4298531564792, 'avg_hold_bars': 3.3}}"
0.22,0.002,0.0015,31,31,0,0.0967741935483871,14.433002759671353,-31.716692972333725,0.04875644362326299,-844.7683949463302,-8.447683949463302,8.72955004615551,-15.135792058840721,10000.0,9155.231605053663,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04875644362326299, 'total_pnl': -844.7683949463302, 'avg_hold_bars': 3.5161290322580645}}"
0.15,0.002,0.0015,31,31,0,0.0967741935483871,14.433002759671353,-31.716692972333725,0.04875644362326299,-844.7683949463302,-8.447683949463302,8.72955004615551,-15.135792058840721,10000.0,9155.231605053663,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04875644362326299, 'total_pnl': -844.7683949463302, 'avg_hold_bars': 3.5161290322580645}}"
0.22,0.0014,0.0015,31,31,0,0.0967741935483871,14.433002759671353,-31.716692972333725,0.04875644362326299,-844.7683949463302,-8.447683949463302,8.72955004615551,-15.135792058840721,10000.0,9155.231605053663,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04875644362326299, 'total_pnl': -844.7683949463302, 'avg_hold_bars': 3.5161290322580645}}"
0.15,0.0008,0.001,21,21,0,0.047619047619047616,13.004503600037,-29.760070494858684,0.021848912626540387,-582.1969062971367,-5.821969062971367,6.111865919554529,-15.307725431139227,10000.0,9417.803093702865,"{'range': {'trades': 21, 'win_rate': 0.047619047619047616, 'profit_factor': 0.021848912626540387, 'total_pnl': -582.1969062971367, 'avg_hold_bars': 3.4761904761904763}}"
0.15,0.002,0.001,29,29,0,0.06896551724137931,20.177296069298436,-30.85592948820167,0.04843848649003522,-792.7555040428483,-7.927555040428483,8.211016175663026,-15.313623598349965,10000.0,9207.244495957144,"{'range': {'trades': 29, 'win_rate': 0.06896551724137931, 'profit_factor': 0.04843848649003522, 'total_pnl': -792.7555040428483, 'avg_hold_bars': 3.2413793103448274}}"
0.22,0.0014,0.001,29,29,0,0.06896551724137931,20.177296069298436,-30.85592948820167,0.04843848649003522,-792.7555040428483,-7.927555040428483,8.211016175663026,-15.313623598349965,10000.0,9207.244495957144,"{'range': {'trades': 29, 'win_rate': 0.06896551724137931, 'profit_factor': 0.04843848649003522, 'total_pnl': -792.7555040428483, 'avg_hold_bars': 3.2413793103448274}}"
0.15,0.0014,0.0015,29,29,0,0.06896551724137931,20.177296069298436,-30.85592948820167,0.04843848649003522,-792.7555040428483,-7.927555040428483,8.211016175663026,-15.313623598349965,10000.0,9207.244495957144,"{'range': {'trades': 29, 'win_rate': 0.06896551724137931, 'profit_factor': 0.04843848649003522, 'total_pnl': -792.7555040428483, 'avg_hold_bars': 3.2413793103448274}}"
0.1,0.0014,0.001,21,21,0,0.047619047619047616,12.973832600980305,-31.141856694394058,0.0208302169140027,-609.8633012869008,-6.098633012869008,6.387846118168107,-15.595564524771042,10000.0,9390.1366987131,"{'range': {'trades': 21, 'win_rate': 0.047619047619047616, 'profit_factor': 0.0208302169140027, 'total_pnl': -609.8633012869008, 'avg_hold_bars': 3.1904761904761907}}"
